,Unnamed: 0,tweet,label
0,0,raih opini tahun turut tan catat sejarah baru,non_gempatsunami
1,1,stop press bmkg keluar ingat dini tsunami usai gempa malam https tirto cbns,gempatsunami
2,2,gempa tenggara serambagiantimur malu potensi tsunami bmkg twitter lmyqzijy,gempatsunami
3,3,sangka makar sosok sofyan jacob kapolda metro jaya http kiia,non_gempatsunami
4,4,gempa timurlaut malukutenggarab potensi tsunami bmkg twitter zjzitdpgzz,gempatsunami
5,5,gempa ciamis potensi tsunami lapor rusa infobmkg http jubg,gempatsunami
6,6,trump turut ucap belasungkawa atas bencana gempa tsunami palu,gempatsunami
7,7,tsunami setinggi meter landa wilayah pesisir chili peru ekuador kolombia panama kosta rika nikaragua gempa,gempatsunami
8,8,operation foreign airlines indonesia should studied offer more competitive ticket prices says mister luhut http iewzy,non_gempatsunami
9,9,dapur rumah sakit siloam jalan juang kaveling kebon jeruk jakarta barat bakar kemarin pagi http kjbnlv,non_gempatsunami
10,10,coba jakarta mulai beda belum http plfm,non_gempatsunami
11,11,gempa baratdaya lebak banten potensi tsunami bmkg twitter ajsbevueuf,gempatsunami
12,12,jumlah korban terus tambah rugi jadi tunjuk rusa masif akibat bencana gempa tsunami sulteng http dlvr qmqvn,gempatsunami
13,13,kunci sukses boca juniors pimpin mauricio macri taktik carlos bianchi tampil juan roman riquelme twitter fnbiztokcq,non_gempatsunami
14,14,menteri hadir temu amaf duka cita korban gempa tsunami sulawesi tengah http dlvr qngdz,gempatsunami
15,15,kuasa hukum prabowo sandiaga curang curi suara jumlah sampai suara rugi prabowo sandiaga http zokcoe,non_gempatsunami
16,16,mitsubishi buka dealer tangerang otomotif,non_gempatsunami
17,17,gempa tenggara talaud sulut potensi tsunami bmkg twitter zjsaza,gempatsunami
18,18,agung hercules kabar kena tumor otak ganas beberapa tokoh ikut alami sama siapa mereka tumorganas tumorotak detikhealth,non_gempatsunami
19,19,perintah provinsi jakarta tetap data datang baru jakarta pasca mudik lebaran http xzguk,non_gempatsunami
20,20,puncak libur lebaran unjung tmii tembus ribu http krfl,non_gempatsunami
21,21,ingat dini cuaca wilayah pulau bangka belitung juni bmkg lengkap klik taut ikut,non_gempatsunami
22,22,ingat dini tsunami bengkulu lampung sumbar sumut gempa http twitpic,gempatsunami
23,23,salah satu bantu negara dalam tangan korban gempa tsunami sulteng upa angkut udara upa pesawat hercules,gempatsunami
24,24,gempa bumi bengkulu barat potensi tsunami https fwzqac,gempatsunami
25,25,mobil wajib kinclong idul fitri simak biaya cuci,non_gempatsunami
26,26,masih pangkat mayor nikah putri presiden jenderal soeharto prabowo pernah kumpul kawan kawan dekat rangka kuat diri hadap jenderal benny moerdani https tirto,non_gempatsunami
27,27,viral nyanyi korea selatan hara kabar sadar diri usai coba bunuh diri laku http qqxqd,non_gempatsunami
28,28,gempa guncang pulau morotai malut potensi tsunami http dlvr qyslzb,gempatsunami
29,29,bnpb sebut ratus rumah tenggelam lumpur usai gempa tsunami palu http dlvr qlxbxh,gempatsunami
30,30,gempa tenggara serambagiantimur malu potensi tsunami bmkg twitter ffwvvycib,gempatsunami
31,31,gempa guncang denpasar bal potensi tsunami https mtiz,gempatsunami
32,32,fenomena mudik usai sahur ubah jadwal trans jawa,non_gempatsunami
33,33,gempa aceh trauma tsunami twitter wojgzzmojz,gempatsunami
34,34,gempa baratlaut malukutenggarab potensi tsunami bmkg twitter vzgwqhvp,gempatsunami
35,35,jelang datang anggota gelar simulasi gempa tsunami http afmztd,gempatsunami
36,36,shopping singapur malah waspada kena sakit belanja tampur kali kenal gejala cara tular cacar monyet tirtografi twitter plywiucw,non_gempatsunami
37,37,tsunami cipta pusat gempa terlalu http tinyurl lbkc,gempatsunami
38,38,update kini rusa gempa tsunami sulteng twitter msdmzusia,gempatsunami
39,39,gempa baratlaut malukutenggarab potensi tsunami bmkg twitter ojvvnrhck,gempatsunami
40,40,bmkg sempat beri ingat tsunami pasca gempa tektonik kuat magnitudo pulau bangga sulawesi tengah,gempatsunami
41,41,gempa tenggara pangandaran jabar potensi tsunami bmkg twitter oildxcwqz,gempatsunami
42,42,kalau benteng integritas patah repot,non_gempatsunami
43,43,gempa baratlaut tahuna sangihe sulut tidak potensi tsunami bmkg,gempatsunami
44,44,turun kuat penuh bantu korban gempa donggala tsunami palu http dlvr qlrfn,gempatsunami
45,45,lari hingga minum urine kisah ajaib korban selamat gempa tsunami dahsyat http dlvr qmzjhp,gempatsunami
46,46,sandiaga sebut link berita cermin jadi masyarakat,non_gempatsunami
47,47,jokowi hadir sama korban gempa tsunami palu solo http dlvr qlpyrv,gempatsunami
48,48,tips olah daging hidang lebaran tidak alot,non_gempatsunami
49,49,jepang menperin incar investasi sektor kimia hingga baja,non_gempatsunami
50,50,ramai baca http kdoym,non_gempatsunami
51,51,perintah gandeng inggris kuat reformasi regulasi http wnlqan,non_gempatsunami
52,52,gempa kuat magnitudo jadi pulau bangga sulteng infobmkg beri ingat dini tsunami gempa jadi pukul dalam topnews twitter ymzlrgsot,gempatsunami
53,53,terkadang memang sulit beda jangan asal tebak perhati http xzbtv,non_gempatsunami
54,54,gempa timurlaut bima tidak potensi tsunami bmkg,gempatsunami
55,55,timbang naik peringkat utang,non_gempatsunami
56,56,tiga kali perintah jokowi turut turut terima opini http vwubsq,non_gempatsunami
57,57,halo sobat bmkg biar mudik jadi nyaman lancar asyik pantau terus informasi bmkg kujung website bmkg twitter bohnna,non_gempatsunami
58,58,gempa guncang sumba barat potensi tsunami twitter oyzeytjqx,gempatsunami
59,59,unhcr kirim bantu sintas gempa tsunami sulawesi tengah http dlvr qnzxgx,gempatsunami
60,60,ingat dini cuaca wilayah pulau bangka belitung juni bmkg lengkap klik taut ikut,non_gempatsunami
61,61,korban gempa tsunami donggala palu sulawesi tengah rencana makam massal wilayah poboya liputansctv twitter sonqtvjgj,gempatsunami
62,62,gempa magnitudo guncang nias potensi tsunami http dlvr qjgfx,gempatsunami
63,63,ingat gempa bumi jadi potensi tsunami gempa bumi,gempatsunami
64,64,harga kendali surakarta alami deflasi lama ramadan http xefkqg,non_gempatsunami
65,65,menang dewi perssik cerita detik detik tinggal ayahanda http mdsuk,non_gempatsunami
66,66,kapal pelni tiba arus mudik membludak labuh makassar,non_gempatsunami
67,67,gempa bumi kuat magnitudo jadi malu tenggara malu gempa potensi tsunami gempa,gempatsunami
68,68,gempa baratlaut donggala sulteng potensi tsunami bmkg twitter hlfceuxym,gempatsunami
69,69,jadwal kompetisi sepak bola liga inggris musim kabar bocor umum http icxjmr,non_gempatsunami
70,70,gempa baratlaut boalemo gorontalo potensi tsunami bmkg twitter pstyfhfe,gempatsunami
71,71,arus balik mulai lihat trans jawa http winadw,non_gempatsunami
72,72,ditlantas polda metro jaya siap rekayasa lalu lintas,non_gempatsunami
73,73,kenari angkut orang tenggelam alor tinggal,non_gempatsunami
74,74,ingat dini cuaca wilayah pulau bangka belitung juni bmkg lengkap klik taut ikut,non_gempatsunami
75,75,kemenhub izin diskon tarif ojek online syarat,non_gempatsunami
76,76,bandara kulon progo desain tahan gempa magnitudo tsunami,gempatsunami
77,77,siap strategi khusus hadap sengketa http kgben,non_gempatsunami
78,78,rumah buat atas bekas runtuh bangun bahan bahan manfaat sisa runtuh masih pakai hasil keren,non_gempatsunami
79,79,siap kereta tambah berangkat stasiun pasar senen sukses mudik lebaran http meup,non_gempatsunami
80,80,landa gempa tsunami jepang batal ikut direx manado http pxtn,gempatsunami
81,81,ethes lagi rebut perhati publik kena pakai adat bal ethes lihat lucu gemas bagaimana turut regional,non_gempatsunami
82,82,amin ucap belasungkawa korban gempa tsunami sulteng http dlvr qllbmy,gempatsunami
83,83,gempa baratlaut kota sabang aceh potensi tsunami bmkg twitter fpgtbjfs,gempatsunami
84,84,gempa tenggara ngada potensi tsunami bmkg twitter izxxxnvv,gempatsunami
85,85,gempa baratdaya enggano bengkulu tidak potensi tsunami bmkg,gempatsunami
86,86,belanja modal kembang digital mandiri tahun,non_gempatsunami
87,87,gempa baratdaya niasbarat sumut potensi tsunami bmkg twitter huexbmm,gempatsunami
88,88,ingat dini cuaca wilayah jabodetabek juni bmkg lengkap klik taut ikut,non_gempatsunami
89,89,bawaslu sepakat menindaklanjuti temu langgar milu duga palembang laksana rekomendasi cara seluruh http dlvr rjch,non_gempatsunami
90,90,viral neymar ancam tinggal sponsor tuduh perkosa timpa http ipgx,non_gempatsunami
91,91,mudik sepeda motor sisa usai salat idul fitri,non_gempatsunami
92,92,sutiaji aku menindaklanjuti pungut parkir luar ancam bawa ranah pidana http dlvr rmhf,non_gempatsunami
93,93,saking harga data diri guna pihak pihak nakal buat bagai penting salah satu iklan https tirto cstr,non_gempatsunami
94,94,ingat dini cuaca wilayah aceh bmkg lengkap klik taut ikut,non_gempatsunami
95,95,bmkg sebut gempa sukabumi potensi tsunami http dlvr qwccfz,gempatsunami
96,96,mister yasonna laoly reportedly deeply disappointed arrest immigration officer kurniadie accepting bribe money http marupa,non_gempatsunami
97,97,ganjar luncur hastag kitatidakmaurusuh dorong sidang jalan lancar,non_gempatsunami
98,98,gempa guncang meksiko potensi tsunami detik,gempatsunami
99,99,gempa guncang alaska potensi tsunami http ucku,gempatsunami
100,100,kisah inspiratif balik pilu gempa tsunami palu http dlvr qmmqn,gempatsunami
101,101,trump aku surat indah jong isi http wjipr,non_gempatsunami
102,102,anggota tengara libat rusuh siapa mawar http wwleey,non_gempatsunami
103,103,gempa timurlaut donggala sulteng potensi tsunami dtrskn msyrkt bmkg,gempatsunami
104,104,turut bmkg gempa potensi tsunami,gempatsunami
105,105,ingat dini cuaca wilayah jabodetabek juni bmkg lengkap klik taut ikut,non_gempatsunami
106,106,per spider from home kerap laku layan pesan antar makan kabar zendaya langgan postmates sejak tahun,non_gempatsunami
107,107,discovered unusual graft money handover where billion cash were placed inside trash http yvvn,non_gempatsunami
108,108,amnesty international kecewa temu polisi soal rusuh http ibiwt,non_gempatsunami
109,109,bank indonesia isyarat turun suku bunga,non_gempatsunami
110,110,gempa kuat jadi bolaang mongondow timur bmkg sebut potensi tsunami http dlvr qsppj,gempatsunami
111,111,gempa bmkg beri ingat dini tsunami twitter gnxaqoko,gempatsunami
112,112,gempa aceh ancam tsunami banyak negara http ibgrzr,gempatsunami
113,113,gempa kuat besar guncang halmahera barat pusat gempa laut potensi tsunami http dlvr qynys,gempatsunami
