,tweet,label
0,Peringatan dini cuaca wilayah Aceh [29 Mei 2019] #BMKG Selengkapnya klik tautan berikut http://www.bmkg.go.id/peringatan-dini/?p=b8kp20190529 …,non_gempatsunami
1,"Polisi: Benda Mencurigakan di Mapolresta Cirebon, Bom Aktif http://bit.ly/2Rh9Fmd",non_gempatsunami
2,"#Gempa Mag:5.1, 06-Sep-18 13:43:09 WIB, Lok:8.28 LS,116.97 BT (15 km BaratLaut P.SARINGI-NTB), Kedlmn:10 Km, tdk berpotensi tsunami #BMKG pic.twitter.com/aHVaX4uqCF",gempatsunami
3,"#Gempa Mag:5.3, 02-Oct-18 06:46:41 WIB, Lok:0.57 LS,119.87 BT (16 km Tenggara DONGGALA-SULTENG), Kedalaman:10 Km, tidak berpotensi tsunami #BMKG",gempatsunami
4,Gempa Malang Tidak Berpotensi Tsunami  http://dlvr.it/Qc8r40,gempatsunami
5,Panitia Seleksi Calon Pimpinan Komisi Pemberantasan Korupsi meminta BNPT dan BIN mengecek rekam jejak calon pemimpin KPK  http://bit.ly/2MOPdKJ,non_gempatsunami
6,"Cina Pangkas Harga Eceran BBM, Simak Alasannya https://otomotif.tempo.co/read/1213833/cina-pangkas-harga-eceran-bbm-simak-alasannya?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=dlvrit …",non_gempatsunami
7,Penyebab Gempa Aceh Tak Timbulkan Tsunami  http://bit.ly/IADGSQ,gempatsunami
8,Supernova diperkirakan telah menghujani Bumi dengan energi yang cukup untuk mengubah iklim planet ini. http://bit.ly/2HIEKfi,non_gempatsunami
9,Partai Golkar meminta jatah lima kursi menteri di kabinet pemerintahan Presiden Joko Widodo periode kedua  http://bit.ly/2JEoXQM,non_gempatsunami
10,Peringatan dini cuaca wilayah Sumatera Selatan [01 Juni 2019] #BMKG Selengkapnya klik tautan berikut http://www.bmkg.go.id/peringatan-dini/?p=70u120190601 …,non_gempatsunami
11,"Gempa 8 SR Guncang Meksiko, Ada Peringatan Tsunami Berbahaya  http://detik.id/6PACR4  pic.twitter.com/qSwmn6MzPP",gempatsunami
12,Kejati Jatim akan mengajukan banding pada kasus pencemaran nama baik Ahmad Dhani. Pengajuan banding ini dilakukan untuk mengimbangi pihak Dhani. https://news.detik.com/berita-jawa-timur/d-4587374/kejati-jatim-juga-ajukan-banding-kasus-idiot-ahmad-dhani?utm_term=echobox&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikcom&utm_source=Twitter#Echobox=1560593375 …,non_gempatsunami
13,Kepala BNPB meml pic.twitter.com/0ZigGenNKV,non_gempatsunami
14,"Lantas kenapa hoaks dengan mudah diterima sebagian orang sebagai kebenaran? Ahli psikologi Politik dari Universitas Indonesia, Hamdi Muluk membeberkan pendapatnya.  http://bit.ly/31w8yn5  pic.twitter.com/T2Vuu1gYLO",non_gempatsunami
